,EXERCÍCIO,NOME FUNÇÃO,NOME SUBFUNÇÃO,ORÇAMENTO REALIZADO (R$)
4672,2014,Educação,Ensino superior,94488.56
4674,2014,Educação,Ensino superior,286269.24
4677,2014,Educação,Atenção básica,117791.52
4684,2014,Educação,Ensino profissional,5231.71
4686,2014,Educação,Ensino profissional,252589.02
4687,2014,Educação,Atenção básica,1210.1
4689,2014,Educação,Ensino profissional,268280.91
4690,2014,Educação,Ensino profissional,229595.8
4696,2014,Educação,Ensino superior,63659.44
4698,2014,Educação,Ensino superior,2327.5
4699,2014,Educação,Ensino superior,5123.32
4702,2014,Educação,Ensino superior,25031.89
4703,2014,Educação,Ensino superior,592481.46
4705,2014,Educação,Ensino superior,5006.33
4706,2014,Educação,Atenção básica,7877.7
4709,2014,Educação,Ensino profissional,54475.68
4710,2014,Educação,Ensino profissional,339423.48
4716,2014,Educação,Ensino superior,5434.32
4717,2014,Educação,Ensino superior,312531.37
4718,2014,Educação,Ensino superior,29094.73
4719,2014,Educação,Atenção básica,194790.23
4721,2014,Educação,Ensino superior,40640.25
4722,2014,Educação,Ensino superior,1062.0
4726,2014,Educação,Ensino superior,231936.51
4727,2014,Educação,Ensino superior,229745.26
4728,2014,Educação,Ensino superior,26657.85
4729,2014,Educação,Ensino superior,237384.57
4732,2014,Educação,Ensino superior,553400.0
4738,2014,Educação,Atenção básica,41419.84
4739,2014,Educação,Ensino superior,17290.0
4741,2014,Educação,Ensino superior,1080.0
4742,2014,Educação,Ensino superior,8052.24
4747,2014,Educação,Ensino superior,217947.53
4749,2014,Educação,Atenção básica,16931.32
4752,2014,Educação,Ensino profissional,645.84
4756,2014,Educação,Ensino profissional,168856.66
4758,2014,Educação,Ensino profissional,113444.26
4764,2014,Educação,Atenção básica,11696.96
4771,2014,Educação,Ensino superior,169727.98
4772,2014,Educação,Ensino superior,114250.27
4778,2014,Educação,Ensino profissional,2842.07
4779,2014,Educação,Ensino profissional,57921.08
4781,2014,Educação,Ensino profissional,390383.98
4783,2014,Educação,Ensino profissional,194783.92
4789,2014,Educação,Ensino superior,223662.7
4792,2014,Educação,Ensino superior,73000.0
4795,2014,Educação,Ensino superior,14300.0
4802,2014,Educação,Ensino superior,23153.79
4803,2014,Educação,Ensino superior,214631.6
4804,2014,Educação,Ensino superior,1239.55
4805,2014,Educação,Atenção básica,251.94
4812,2014,Educação,Ensino superior,719.79
4814,2014,Educação,Ensino superior,100931.31
4815,2014,Educação,Ensino superior,10600.0
4816,2014,Educação,Ensino superior,128252.51
4817,2014,Educação,Ensino superior,359522.51
4819,2014,Educação,Ensino superior,978.15
4820,2014,Educação,Atenção básica,22170.28
4821,2014,Educação,Ensino superior,188409.99
4823,2014,Educação,Ensino superior,76642.12
4827,2014,Educação,Ensino profissional,464735.1
4830,2014,Educação,Ensino profissional,345808.45
4831,2014,Educação,Ensino profissional,163079.06
4837,2014,Educação,Ensino superior,6497.42
4838,2014,Educação,Ensino superior,67598.0
4839,2014,Educação,Ensino profissional,248891.75
4841,2014,Educação,Ensino superior,2400.0
4843,2014,Educação,Ensino superior,880.0
4846,2014,Educação,Ensino superior,3706.0
4848,2014,Educação,Ensino superior,227885.41
4849,2014,Educação,Atenção básica,410517.92
4850,2014,Educação,Ensino superior,101636.32
4851,2014,Educação,Ensino superior,9265.0
4852,2014,Educação,Ensino superior,18796.84
4854,2014,Educação,Atenção básica,2741.76
4856,2014,Educação,Ensino profissional,47697.48
4857,2014,Educação,Ensino profissional,49652.82
4858,2014,Educação,Ensino profissional,44534.11
4860,2014,Educação,Ensino profissional,200770.92
4868,2014,Educação,Ensino superior,75660.0
4874,2014,Educação,Atenção básica,441806.19
4876,2014,Educação,Ensino superior,693.97
4877,2014,Educação,Ensino superior,99455.2
4878,2014,Educação,Ensino superior,151589.22
4882,2014,Educação,Ensino superior,42425.17
4887,2014,Educação,Ensino superior,395.7
4888,2014,Educação,Ensino superior,50680.02
